Subject,Object
Republicans,it
You,signs
Democrats,opportunity
which,soldiers
they,approach
year,cleaning
you,headline
players,film
who,sights
I,it
Analysts,move
Don,chum
Kennedy,value
we,it
members,it
he,chance
Investors,element
settlers,them
regime,problems
who,justice
you,land
you,what
he,upturn
He,plan
Podger,feather
driver,turtle
who,eye
we,convicts
public,wagon
majority,party
you,situation
I,it
John,renewal
world,Catholicism
who,relation
We,nation
I,mention
We,enough
Chicago,Ballet
Russians,vitality
I,Fiorello
you,picture
Low,stupidities
You,tendency
I,Jouvet
who,Seigner
he,what
we,him
flower,indoors
Clerfayt,volcano
I,face
we,inculcation
I,expression
Newman,liberalism
I,charge
father,concurrence
man,death
Irenaeus,it
he,parallel
he,it
they,which
I,that
realtor,himself
they,themselves
you,point
you,that
we,proportion
Some,revivalism
who,unity
Shan,monk
man,God
they,light
he,kingdom
he,kingdom
We,power
you,which
I,Caper
I,filly
1961,changes
one,Plains
I,spires
I,one
I,spot
I,Hippodrome
I,Fountain
I,spring
he,defection
They,men
years,him
we,problems
we,pressures
we,variety
We,displays
Americans,more
you,piazzas
they,silhouette
he,necessity
some,darkness
you,needle
crusader,threat
police,her
orthodontist,children
you,that
I,Pemberton
I,that
they,it
who,Reno
I,holes
he,half
you,What
I,it
she,Morse
he,niece
we,circle
I,dogs
Ulyate,what
she,him
they,movement
congregation,itself
they,names
man,little
you,garden
He,Negroes
Southerners,them
one,oneself
they,hope
I,Kyoto
I,ceremony
I,recovery
They,it
man,it
I,that
traveler,which
opponents,which
they,sorts
Beckett,that
I,much
I,chrysanthemums
it,whatever
he,reflection
He,Sweden
who,picture
I,piece
I,it
we,characteristics
he,Jew
who,incest
she,him
he,heroic
Thorpe,hardships
one,piano
One,it
I,us
they,Calcutta
staff,nickname
Hearst,wife
he,money
Democrats,fit
He,age
they,trees
she,reason
Littlepage,action
evening,banquet
Suvorov,units
We,it
bench,departure
I,lot
proportion,anchor
I,men
Clark,difference
Melville,whom
I,Sedgwick
Stidger,sheets
we,vision
they,that
who,inscription
I,that
who,distance
narrator,What
he,it
We,Berto
We,it
he,Kaisers
I,pride
You,it
I,it
they,way
details,inset
we,it
Gibbs,illustration
Brown,tool
we,commute
they,desk
We,others
you,Granny
I,prospects
Teachers,education
they,it
He,figures
he,things
He,corners
we,What
they,body
I,that
they,Paree
we,disadvantage
One,rendering
we,many
we,indications
We,characteristics
I,them
I,them
I,Bird
companies,possibilities
axis,component
He,him
He,life
he,which
he,Prevot
he,band
he,Secretary
you,amount
He,figures
Most,Cousin
he,spire
Stevie,idols
He,himself
he,way
I,him
I,them
we,militia
he,gesture
He,sign
He,figure
she,grandeur
He,Sparling
they,anyone
he,fireplace
he,pair
who,Pieta
he,nothing
she,lights
she,dots
she,soldiers
she,Juanita
Joel,them
David,eyes
hawk,wedge
He,eyes
he,portion
I,way
Grabski,money
I,him
Rector,convert
They,one
he,her
I,it
she,charity
way,roof
I,you
He,land
he,strokes
Abel,house
He,point
I,head
she,scar
He,surprise
I,any
he,glitter
I,him
you,her
Guardino,her
I,apron
anyone,cab
he,face
he,something
he,them
they,bottle
he,one
I,bride
I,her
who,assassination
I,that
she,line
She,reason
I,you
he,it
she,him
We,handiwork
I,way
Andy,newspapers
He,grin
he,him
Meeker,fit
he,him
he,men
he,faces
Gun,that
he,blanket
one,Burton
he,car
he,station
he,Elaine
he,Poet
's,it
I,car
I,none
She,him
I,him
I,you
he,reflection
He,it
he,register
you,him
driver,what
I,point
nobody,us
he,it
you,it
Hal,discs
Hal,rest
he,what
I,them
You,them
crew,Ariadne
Helva,people
you,play
He,grimace
he,expression
Gavin,it
they,men
I,letter
I,them
I,fall
I,circling
I,kneel
I,him
I,fire
he,face
they,me
I,which
I,part
he,what
he,man
I,him
they,one
She,derrick
Joyce,him
I,something
I,things
hands,him
I,face
he,grin
she,him
I,Dan
she,Farmer
they,signs
He,specks
They,us
They,us
I,hovering
I,her
I,you
You,me
she,men
I,face
I,two
I,woman
he,her
I,her
I,surge
I,outlines
he,me
You,her
she,him
He,clouds
they,woman
I,point
you,scaffolding
They,tultul
I,figures
I,me
he,someone
he,himself
You,him
He,her
you,her
Matsuo,marine
he,marine
He,action
they,horses
he,something
they,it
Jack,Woman
she,him
we,dress
he,look
He,them
He,man
I,boy
he,anything
boy,them
boy,belly
she,foal
you,babes
she,tangle
We,you
He,dangers
I,him
she,children
I,her
one,her
I,her
I,him
he,what
you,one
he,face
he,shame
women,courage
He,himself
people,arrogance
He,them
she,glisten
you,me
He,suitcase
He,building
I,doctor
I,you
Lucy,her
he,specter
she,flying
one,him
he,head
she,brace
You,them
you,her
Coopers,Bobbie
I,sense
Shirley,him
I,much
I,her
I,anything
She,me
She,ring
I,her
she,city
She,them
Theresa,him
I,Johnnie
I,Alma
I,her
he,girl
he,them
Richard,them
who,little
Richard,frankness
I,one
I,it
I,shoulders
one,things
You,colors
you,anything
you,difference
I,happiness
she,things
he,them
he,her
who,light
Crumb,him
you,girl
I,girl
I,something
I,picture
you,drama
he,it
we,him
